Country,Total_Arrival,Population
Australia,6691760,26638544
New Zealand,1249010,5223100
Papua New Guinea,26280,10329931
Solomon Islands,7110,740424
Vanuatu,7980,334506
Kiribati,1800,133515
Marshall Islands,110,41996
Micronesia,120,115224
Nauru,4190,12780
Palau,140,18058
Fiji,42130,936375
Samoa,5380,225681
Tonga,10560,107773
Tuvalu,790,11396
Ireland,84830,5262382
Austria,11690,9132383
Belgium,13070,11822592
France,122420,68170228
Germany,120550,84482267
Liechtenstein,60,39584
Luxembourg,740,668606
Monaco,30,36297
Netherlands,45420,17879488
Switzerland,21220,8849852
Denmark,17110,5946952
Finland,7400,5584264
Iceland,560,393600
Norway,12960,5519594
Sweden,18330,10536632
Andorra,50,80088
Italy,59330,58761146
Malta,1370,553214
Portugal,10050,10525347
Spain,32050,48373336
Albania,440,2745972
Bosnia and Herzegovina,570,3210847
Bulgaria,1680,6430370
Croatia,2470,3853200
Cyprus,1000,1260138
North Macedonia,1270,1811980
Greece,4330,10361295
Moldova,130,2486891
Romania,3730,19056116
Slovenia,1430,2120937
Montenegro,170,616177
Serbia,1780,6618026
Kosovo,160,1756374
Belarus,520,9178298
Czechia,6900,10873689
Estonia,3510,1366188
Hungary,4640,9589872
Latvia,1200,1881750
Lithuania,2750,2871897
Poland,14730,36685849
Russia,10920,143826130
Slovakia,3120,5426740
Ukraine,3930,37000000
Algeria,320,45606480
Egypt,5280,112716598
Libya,60,6888388
Morocco,720,37840044
Sudan,700,48109006
Tunisia,280,12458223
South Sudan,220,11088796
Bahrain,310,1485509
Iran,17220,89172767
Iraq,4260,45504560
Israel,7090,9756700
Jordan,2200,11337052
Kuwait,1820,4310108
Lebanon,5630,5353930
Oman,790,4644384
Qatar,480,2716391
Saudi Arabia,9520,36947025
Syria,2930,23227014
Turkey,8410,85326000
United Arab Emirates,3670,9516871
Yemen,330,34449825
Myanmar,5840,54577997
Cambodia,17660,16944826
Laos,2940,7633779
Thailand,77390,71801279
Vietnam,167530,98858950
Brunei,3940,452524
Indonesia,192580,277534122
Malaysia,214480,34308525
Philippines,178620,117337368
Singapore,225440,5917648
East Timor,5480,1360596
China,950340,1410710000
Hong Kong,143870,7536100
Macau,3640,704149
Mongolia,10380,3447157
Japan,287250,124516650
South Korea,290100,51712619
Bangladesh,31490,172954319
Bhutan,8950,787424
India,533070,1428627663
Maldives,980,521021
Nepal,69570,30896590
Pakistan,44290,240485658
Sri Lanka,61860,22037000
Afghanistan,13230,42239854
Armenia,280,2777970
Azerbaijan,310,10112555
Georgia,260,3760365
Kazakhstan,1510,19900177
Kyrgyzstan,240,7100800
Tajikistan,90,10143543
Turkmenistan,60,6516100
Uzbekistan,860,36412350
Canada,117880,40097761
United States,460310,334914895
Argentina,16000,46654581
Bolivia,310,12388571
Brazil,44200,216422446
Chile,20990,19629590
Colombia,27630,52085168
Ecuador,2420,18190484
Guyana,40,813834
Paraguay,310,6861524
Peru,5670,34352719
Suriname,20,623236
Uruguay,1650,3423108
Venezuela,1220,28838499
Belize,40,410825
Costa Rica,530,5212173
El Salvador,270,6364943
Guatemala,360,17602431
Honduras,210,10593798
Mexico,10860,128455567
Nicaragua,100,7046310
Panama,350,4468087
Antigua and Barbuda,40,94298
Bahamas,110,412623
Barbados,110,281995
Cuba,120,11194449
Dominica,150,73040
Dominican Republic,190,11332972
Grenada,80,126183
Haiti,10,11724763
Jamaica,330,2825544
Saint Kitts and Nevis,140,47755
Saint Lucia,70,180251
Saint Vincent and the Grenadines,30,103698
Trinidad and Tobago,310,1534937
Benin,10,13712828
Burkina Faso,10,23251485
Cameroon,110,28647293
Central African Republic,140,5742315
Republic of the Congo,100,6106869
Democratic Republic of the Congo,1710,102262808
Côte d'Ivoire,50,28873034
Gabon,10,2436566
Gambia,40,2773168
Ghana,1690,34121985
Guinea,60,14190612
Liberia,120,5418377
Mali,30,23293698
Nigeria,4540,223804632
Senegal,40,17763163
Sierra Leone,170,8791092
Togo,10,9053799
Angola,60,36684202
Botswana,640,2675352
Burundi,220,13238559
Eritrea,450,3748901
Ethiopia,1570,126527060
Kenya,7430,55100586
Lesotho,40,2330318
Madagascar,130,30325732
Malawi,240,20931751
Mauritius,6340,1261041
Mozambique,170,33897354
Namibia,320,2604172
Rwanda,200,14094683
Seychelles,200,119773
Somalia,370,18143378
South Africa,42640,60414495
Eswatini,40,1210822
Tanzania,560,67438106
Uganda,890,48582334
Zambia,1140,20569737
Zimbabwe,6400,16665409
